Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Logistic Regression,0.6900498678001272,0.13356890459363957,0.6608391608391608,0.2222222222222222,0.7473839429573548
Decision Tree,0.8664948626125373,0.25414501361049247,0.512987012987013,0.33989740195267254,0.8042815866918173
Random Forest,0.8783426486830215,0.2809229943654414,0.522977022977023,0.36550881480188513,0.8309758899851091
